member_id,display_as,gender,party,party_simple,mp_final_relig,ass_suicide_2nd,ass_suicide_3rd,lgbt,ethnic_mp,relig_christian,relig_muslim,relig_jewish,relig_sikh,mp_swear,mp_swear_book,mp_inferred_relig,elected,majority,constituency_type,cen_claimant,cen_eth_white,cen_rel_christian,cen_rel_buddhist,cen_rel_hindu,cen_rel_jewish,cen_rel_muslim,cen_rel_sikh,cen_rel_no religion,cen_qual_none,cen_qual_grad,cen_disab_some
39,John Whittingdale,M,Conservative,Con,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.08822,County,2.63714,0.96029,0.502301,0.002781,0.003201,0.00193,0.005891,0.00082,0.423712,0.184589,0.264155,0.162079
40,Bernard Jenkin,M,Conservative,Con,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.01523,County,3.123604,0.939381,0.473548,0.003761,0.003853,0.00158,0.008522,0.001172,0.439523,0.179597,0.278164,0.190471
54,Julian Lewis,M,Conservative,Con,Jewish,No,TBC,No,No,0,0,0,0,Oath,Old Testament,Other Religion,Re-elected,0.120295,County,2.311711,0.966852,0.493869,0.002919,0.001917,0.001157,0.00304,0.000738,0.433919,0.159538,0.296505,0.180009
55,Desmond Swayne,M,Conservative,Con,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.08158,County,2.210983,0.968732,0.540397,0.003188,0.001294,0.001518,0.003694,0.000224,0.378173,0.162557,0.327644,0.191163
87,Roger Gale,M,Conservative,Con,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.032092,County,3.869399,0.953317,0.509726,0.004141,0.00405,0.00203,0.007464,0.00101,0.409827,0.205279,0.270221,0.213748
146,Barry Gardiner,M,Labour,Labour,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.047397,Borough,6.189848,0.255962,0.345797,0.010661,0.282634,0.006606,0.178909,0.008035,0.086556,0.224996,0.386693,0.108318
152,Iain Duncan Smith,M,Conservative,Con,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.064275,Borough,5.043087,0.628609,0.462623,0.005865,0.030278,0.015225,0.13322,0.008531,0.264414,0.1782,0.39382,0.137346
163,Stephen Timms,M,Labour,Labour,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.162373,Borough,9.545889,0.202786,0.268778,0.003182,0.097654,0.000725,0.471374,0.026108,0.071386,0.240824,0.336787,0.120274
165,Clive Efford,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Re-elected,0.113938,Borough,4.631656,0.71338,0.478564,0.00893,0.025829,0.002454,0.054746,0.005968,0.355633,0.178109,0.400378,0.156982
172,Diane Abbott,F,Labour,Labour,Christian,No,TBC,No,Yes,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.1938,Borough,8.154139,0.551643,0.268466,0.006674,0.007474,0.126484,0.134672,0.008205,0.329136,0.187677,0.487649,0.137467
177,Gareth Thomas,M,Labour (Co-op),Labour,Christian,Abstain,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.083127,Borough,5.722392,0.342376,0.353168,0.012761,0.242882,0.004836,0.17775,0.012184,0.117997,0.166551,0.452322,0.116767
178,John McDonnell,M,Independent,Independent,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Re-elected,0.161696,Borough,7.088626,0.320422,0.325143,0.008948,0.118185,0.000854,0.19975,0.158454,0.132426,0.227291,0.321052,0.122437
185,Jeremy Corbyn,M,Independent,Independent,None,No,TBC,No,No,0,0,0,0,Affirm,No text,None,Re-elected,0.099476,Borough,6.304276,0.618699,0.337085,0.007967,0.00845,0.014432,0.124305,0.002659,0.414106,0.136069,0.575643,0.159615
188,Ed Davey,M,Liberal Democrat,Lib Dem,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.22281,Borough,3.562774,0.705169,0.425584,0.009417,0.0475,0.003935,0.069416,0.008183,0.358427,0.123653,0.4943,0.134637
193,Siobhain McDonagh,F,Labour,Labour,Catholic,No,TBC,No,No,1,0,0,0,Oath,Bible - Jerusalem,Catholic,Re-elected,0.24276,Borough,6.427527,0.520887,0.476342,0.008314,0.071387,0.001568,0.126929,0.003038,0.24026,0.181367,0.400504,0.131284
206,David Lammy,M,Labour,Labour,Christian,No,TBC,No,Yes,1,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.20333,Borough,9.631937,0.47028,0.409952,0.008725,0.011293,0.044314,0.158684,0.003882,0.252258,0.224444,0.411505,0.138505
221,Dan Norris,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.071986,County,1.791315,0.959308,0.458359,0.002721,0.001936,0.000848,0.00493,0.001277,0.462598,0.148002,0.322395,0.165779
227,Andrew George,M,Liberal Democrat,Lib Dem,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.197005,County,3.230479,0.964952,0.460562,0.004519,0.000486,0.000904,0.001842,0.000226,0.456585,0.157987,0.323761,0.217763
242,Christopher Chope,M,Conservative,Con,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.104911,County,2.582258,0.968684,0.541235,0.003418,0.001749,0.002793,0.00411,0.000477,0.37893,0.17586,0.294338,0.204229
249,Geoffrey Clifton-Brown,M,Conservative,Con,Christian,Abstain,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.045859,County,1.988404,0.957964,0.537613,0.00326,0.003412,0.001419,0.003423,0.000997,0.386315,0.132015,0.397618,0.158012
345,Edward Leigh,M,Conservative,Con,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.046574,County,3.224583,0.969607,0.547135,0.002323,0.003048,0.000473,0.004025,0.001366,0.379509,0.181074,0.293123,0.205248
350,John Hayes,M,Conservative,Con,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.087368,County,3.005389,0.963482,0.580698,0.001809,0.002411,0.000639,0.004594,0.001133,0.340476,0.232495,0.213472,0.185402
373,David Davis,M,Conservative,Con,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.044692,County,2.247408,0.970776,0.550965,0.002302,0.002892,0.00089,0.006354,0.000967,0.373409,0.170214,0.321834,0.161804
394,Clive Betts,M,Labour,Labour,None,Yes,TBC,Yes,No,0,0,0,0,Affirm,No text,None,Re-elected,0.167997,Borough,5.658623,0.811267,0.41476,0.002056,0.002854,0.000634,0.124514,0.001191,0.397878,0.252002,0.223539,0.207364
400,John Healey,M,Labour,Labour,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.099923,County,4.070179,0.967579,0.51603,0.001591,0.001284,0.000308,0.007553,0.001156,0.416446,0.248981,0.212694,0.223329
410,Jon Trickett,M,Labour,Labour,None,No,TBC,No,No,0,0,0,0,Affirm,No text,None,Re-elected,0.088069,County,3.288938,0.968542,0.51599,0.001689,0.001544,0.000408,0.006223,0.001146,0.416777,0.268452,0.219573,0.217692
413,Hilary Benn,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Re-elected,0.1485,Borough,8.891656,0.678881,0.426666,0.003722,0.011697,0.00119,0.120765,0.004663,0.372425,0.252675,0.285096,0.168197
415,Fabian Hamilton,M,Labour,Labour,Jewish,Yes,TBC,No,No,0,0,1,0,Affirm,No text,None,Re-elected,0.229174,Borough,4.867555,0.637398,0.362861,0.004835,0.023737,0.041131,0.135538,0.043429,0.326742,0.146971,0.481534,0.154284
420,Yvette Cooper,F,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Re-elected,0.088853,County,3.77471,0.964769,0.4934,0.002507,0.001962,0.000268,0.00545,0.001169,0.437885,0.260999,0.215525,0.209208
429,Derek Twigg,M,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.234104,County,4.146684,0.961119,0.648085,0.002154,0.00315,0.000368,0.005834,0.000855,0.289135,0.212932,0.252447,0.209549
449,Graham Stringer,M,Labour,Labour,None,No,TBC,No,No,0,0,0,0,Affirm,No text,None,Re-elected,0.141765,Borough,7.874414,0.633007,0.512001,0.0041,0.004271,0.010854,0.163151,0.005246,0.247354,0.255449,0.270867,0.189246
473,Mark Hendrick,M,Labour (Co-op),Labour,Christian,No,TBC,No,Yes,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.068359,Borough,6.275511,0.701219,0.440888,0.003117,0.029684,0.000528,0.181504,0.007152,0.276356,0.212081,0.287897,0.18825
483,Maria Eagle,F,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Re-elected,0.290176,Borough,4.132347,0.911075,0.62347,0.003029,0.007981,0.007683,0.018713,0.001435,0.284908,0.2138,0.343791,0.214242
491,Angela Eagle,F,Labour,Labour,None,Yes,TBC,Yes,No,0,0,0,0,Affirm,No text,None,Re-elected,0.24292,Borough,4.406994,0.956477,0.52006,0.002779,0.003764,0.000788,0.007684,0.00085,0.404594,0.192052,0.2706,0.24559
529,Alan Campbell,M,Labour,Labour,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.211151,Borough,3.461404,0.951371,0.4682,0.002887,0.002331,0.000682,0.013312,0.001974,0.458888,0.156514,0.375014,0.194535
632,Douglas Alexander,M,Labour (Co-op),Labour,Christian,Abstain,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.175798,County,2.441095,0.972053,0.349737,0.002029,0.001527,0.000646,0.007174,0.000738,0.576681,0.145536,0.348289,0.222425
1171,Liam Byrne,M,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.020145,Borough,11.47423,0.496627,0.321757,0.001586,0.003524,0.000491,0.374859,0.004072,0.233781,0.294951,0.20448,0.184382
1211,Andrew Mitchell,M,Conservative,Con,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.034328,Borough,2.792755,0.814438,0.524937,0.00363,0.022641,0.001148,0.040079,0.035073,0.314178,0.147568,0.412212,0.15929
1383,Mark Tami,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Re-elected,0.116031,County,2.948341,0.972647,0.509821,0.002557,0.002567,0.000362,0.005525,0.000196,0.410432,0.190076,0.274378,0.184082
1409,Gregory Campbell,M,Democratic Unionist Party,NI,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.002364,County,3.745273,0.984296,0.828462,0.000842,0.0006,0,0.002004,0,0.150064,0.255905,0.299487,0.254161
1440,Pete Wishart,M,Scottish National Party,Nats,None,Abstain,TBC,No,No,0,0,0,0,Affirm,No text,None,Re-elected,0.053416,County,2.514788,0.963009,0.384758,0.003953,0.002271,0.000501,0.007679,0.000393,0.530545,0.142048,0.359573,0.226122
1442,Alistair Carmichael,M,Liberal Democrat,Lib Dem,Christian,Yes,TBC,No,No,1,0,0,0,Oath,No text,None,Re-elected,0.228035,County,1.56804,0.979772,0.332762,0.003048,0.000378,0.000489,0.001735,6.67E-05,0.596094,0.161203,0.307612,0.228873
1444,Mark Francois,M,Conservative,Con,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Re-elected,0.073404,County,2.172896,0.950405,0.485912,0.002155,0.004964,0.002984,0.006259,0.000777,0.441311,0.188568,0.228976,0.154823
